Name,tag,Length,product,locus_tag
mazG CDS,SGL_RS04290,810,nucleoside triphosphate pyrophosphohydrolase,sll1005
cell division protein FtsQ/DivIB CDS,SGL_RS06620,810,cell division protein FtsQ/DivIB,sll1632
aminotransferase class IV CDS,SGL_RS07250,810,aminotransferase class IV,slr0887
rpsB CDS,SGL_RS10005,810,30S ribosomal protein S2,sll1260
C40 family peptidase CDS,SGL_RS10540,810,C40 family peptidase,slr1474
pstB CDS,SGL_RS14185,810,phosphate ABC transporter ATP-binding protein PstB,sll0683
ABC transporter ATP-binding protein CDS,SGL_RS01940,807,ABC transporter ATP-binding protein,slr1318
bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG CDS,SGL_RS03660,807,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,slr1071
cupin domain-containing protein CDS,SGL_RS07395,807,cupin domain-containing protein,sll1785
Rpn family recombination-promoting nuclease/putative transposase CDS,SGL_RS08690,807,Rpn family recombination-promoting nuclease/putative transposase,slr1712
larE CDS,SGL_RS08745,807,ATP-dependent sacrificial sulfur transferase LarE,slr1717
inositol monophosphatase family protein CDS,SGL_RS17125,807,inositol monophosphatase family protein,sll1329
DUF2993 domain-containing protein CDS,SGL_RS04260,804,DUF2993 domain-containing protein,slr1053
cupin domain-containing protein CDS,SGL_RS07400,804,cupin domain-containing protein,sll1784
hisN CDS,SGL_RS08510,804,histidinol-phosphatase,sll1959
hypothetical protein CDS,SGL_RS10840,804,hypothetical protein,sll1439
alpha/beta hydrolase CDS,SGL_RS13800,804,alpha/beta hydrolase,slr0440
ABC transporter ATP-binding protein CDS,SGL_RS14000,804,ABC transporter ATP-binding protein,slr0467
anti-sigma factor CDS,SGL_RS14160,804,anti-sigma factor,sll0688
PspA/IM30 family protein CDS,SGL_RS14225,804,PspA/IM30 family protein,sll0617
proC CDS,SGL_RS17305,804,pyrroline-5-carboxylate reductase,slr0661
larB CDS,SGL_RS17470,804,nickel pincer cofactor biosynthesis protein LarB,sll1489
RDD family protein CDS,SGL_RS02620,801,RDD family protein,slr0254
ABC transporter ATP-binding protein CDS,SGL_RS05565,801,ABC transporter ATP-binding protein,sll1082
pstB CDS,SGL_RS14180,801,phosphate ABC transporter ATP-binding protein PstB,sll0684
minD CDS,SGL_RS15865,801,septum site-determining protein MinD,sll0289
ABC transporter ATP-binding protein CDS,SGL_RS16750,801,ABC transporter ATP-binding protein,slr0544
class I SAM-dependent methyltransferase CDS,SGL_RS01985,798,class I SAM-dependent methyltransferase,sll1407
hypothetical protein CDS,SGL_RS07885,798,hypothetical protein,slr1809
xth CDS,SGL_RS12355,798,exodeoxyribonuclease III,sll1854
radical SAM protein CDS,SGL_RS17205,798,radical SAM protein,slr1464
cobM CDS,SGL_RS02505,795,precorrin-4 C(11)-methyltransferase,slr0239
Rpn family recombination-promoting nuclease/putative transposase CDS,SGL_RS03220,795,Rpn family recombination-promoting nuclease/putative transposase,sll1201
trpA CDS,SGL_RS03395,795,tryptophan synthase subunit alpha,slr0966
phosphoribosylaminoimidazolesuccinocarboxamide synthase CDS,SGL_RS06690,795,phosphoribosylaminoimidazolesuccinocarboxamide synthase,slr1226
DUF3153 domain-containing protein CDS,SGL_RS08800,795,DUF3153 domain-containing protein,slr1724
DUF115 domain-containing protein CDS,SGL_RS09565,795,DUF115 domain-containing protein,slr2125
rsmG CDS,SGL_RS15235,795,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,slr0072
hypothetical protein CDS,SGL_RS15500,795,hypothetical protein,slr0514
pgeF CDS,SGL_RS17495,795,peptidoglycan editing factor PgeF,slr1573
MlaE family lipid ABC transporter permease subunit CDS,SGL_RS04215,792,MlaE family lipid ABC transporter permease subunit,slr1045
cobA CDS,SGL_RS14480,792,uroporphyrinogen-III C-methyltransferase,sll0378
CPBP family intramembrane metalloprotease CDS,SGL_RS15985,792,CPBP family intramembrane metalloprotease,slr0316
IS701 family transposase CDS,SGL_RS09140,>791,IS701 family transposase,sll1982
pentapeptide repeat-containing protein CDS,SGL_RS04235,789,pentapeptide repeat-containing protein,sll1011
YdcF family protein CDS,SGL_RS08750,789,YdcF family protein,sll1606
ABC-2 family transporter protein CDS,SGL_RS11075,789,ABC-2 family transporter protein,slr1174
hypothetical protein CDS,SGL_RS12105,789,hypothetical protein,slr0144
hypothetical protein CDS,SGL_RS12645,789,hypothetical protein,sll0295
response regulator transcription factor CDS,SGL_RS15310,789,response regulator transcription factor,slr0081
cobK CDS,SGL_RS02595,786,precorrin-6A reductase,slr0252
DUF429 domain-containing protein CDS,SGL_RS02765,786,DUF429 domain-containing protein,slr1094
MBL fold metallo-hydrolase CDS,SGL_RS05340,786,MBL fold metallo-hydrolase,slr2005
TatD family hydrolase CDS,SGL_RS05935,786,TatD family hydrolase,sll1786
IS5 family transposase CDS,SGL_RS06390,786,IS5 family transposase,sll1716
IS5 family transposase CDS,SGL_RS07835,786,IS5 family transposase,sll1710
alpha/beta hydrolase CDS,SGL_RS07875,786,alpha/beta hydrolase,slr1807
IS5 family transposase CDS,SGL_RS08940,786,IS5 family transposase,slr0265
hisF CDS,SGL_RS10250,786,imidazole glycerol phosphate synthase subunit HisF,sll1893
IS5 family transposase CDS,SGL_RS12330,786,IS5 family transposase,sll1860
matrixin family metalloprotease CDS,SGL_RS12460,786,matrixin family metalloprotease,slr1946
ABC transporter permease CDS,SGL_RS13235,786,ABC transporter permease,slr0347
IS5 family transposase CDS,SGL_RS13260,786,IS5 family transposase,slr0350
IS5 family transposase CDS,SGL_RS13440,786,IS5 family transposase,sll0012
hypothetical protein CDS,SGL_RS13750,786,hypothetical protein,sll0405
hypothetical protein CDS,SGL_RS14285,786,hypothetical protein,slr0637
IS5 family transposase CDS,SGL_RS16240,786,IS5 family transposase,sll0677
IS5 family transposase CDS,SGL_RS16255,786,IS5 family transposase,slr0703
hypothetical protein CDS,SGL_RS17130,786,hypothetical protein,slr1451
Crp/Fnr family transcriptional regulator CDS,SGL_RS17135,786,Crp/Fnr family transcriptional regulator,sll1367
ABC transporter ATP-binding protein CDS,SGL_RS02745,783,ABC transporter ATP-binding protein,sll1041
ABC transporter ATP-binding protein CDS,SGL_RS04315,783,ABC transporter ATP-binding protein,sll1001
Rpn family recombination-promoting nuclease/putative transposase CDS,SGL_RS07505,783,Rpn family recombination-promoting nuclease/putative transposase,sll1774
metal ABC transporter ATP-binding protein CDS,SGL_RS08815,783,metal ABC transporter ATP-binding protein,sll1599
cobS CDS,SGL_RS14280,783,adenosylcobinamide-GDP ribazoletransferase,slr0636
panB CDS,SGL_RS16615,783,3-methyl-2-oxobutanoate hydroxymethyltransferase,slr0526
tetratricopeptide repeat protein CDS,SGL_RS03105,780,tetratricopeptide repeat protein,sll1667
photosystem II S4 domain protein CDS,SGL_RS10080,780,photosystem II S4 domain protein,sll1252
fetB CDS,SGL_RS11655,780,iron export ABC transporter permease subunit FetB,slr1647
SDR family NAD(P)-dependent oxidoreductase CDS,SGL_RS12965,780,SDR family NAD(P)-dependent oxidoreductase,sll0330
pentapeptide repeat-containing protein CDS,SGL_RS14630,780,pentapeptide repeat-containing protein,sll0183
peptidylprolyl isomerase CDS,SGL_RS14675,780,peptidylprolyl isomerase,slr0208
IS5 family transposase CDS,SGL_RS15470,780,IS5 family transposase,slr0511
IS5 family transposase CDS,SGL_RS18955,778,IS5 family transposase,
DUF2092 domain-containing protein CDS,SGL_RS02920,777,DUF2092 domain-containing protein,slr1773
fabI CDS,SGL_RS04250,777,enoyl-ACP reductase FabI,slr1051
DUF1868 domain-containing protein CDS,SGL_RS06115,777,DUF1868 domain-containing protein,slr2070
TIGR00297 family protein CDS,SGL_RS07145,777,TIGR00297 family protein,sll0875
class I SAM-dependent methyltransferase CDS,SGL_RS14840,777,class I SAM-dependent methyltransferase,slr0912
D-alanyl-D-alanine carboxypeptidase family protein CDS,SGL_RS16535,777,D-alanyl-D-alanine carboxypeptidase family protein,sll0034
RNA polymerase sigma factor SigF CDS,SGL_RS17440,777,RNA polymerase sigma factor SigF,slr1564
ABC transporter permease CDS,SGL_RS18180,777,ABC transporter permease,sll1107
gloB CDS,SGL_RS03800,774,hydroxyacylglutathione hydrolase,sll1019
pantothenate kinase CDS,SGL_RS09870,774,pantothenate kinase,slr0812
cbiQ CDS,SGL_RS14430,774,cobalt ECF transporter T component CbiQ,sll0384
TIGR04283 family arsenosugar biosynthesis glycosyltransferase CDS,SGL_RS15365,774,TIGR04283 family arsenosugar biosynthesis glycosyltransferase,slr0092
rfbF CDS,SGL_RS03545,771,glucose-1-phosphate cytidylyltransferase,slr0983
MBL fold metallo-hydrolase CDS,SGL_RS03895,771,MBL fold metallo-hydrolase,sll0647
Abi-alpha family protein CDS,SGL_RS07075,771,Abi-alpha family protein,sll1272
SDR family NAD(P)-dependent oxidoreductase CDS,SGL_RS07860,771,SDR family NAD(P)-dependent oxidoreductase,sll1704
type 1 glutamine amidotransferase CDS,SGL_RS08110,771,type 1 glutamine amidotransferase,slr1742
MBL fold metallo-hydrolase CDS,SGL_RS12825,771,MBL fold metallo-hydrolase,sll0157
hypothetical protein CDS,SGL_RS13840,771,hypothetical protein,sll0069
sufC CDS,SGL_RS15255,771,Fe-S cluster assembly ATPase SufC,slr0075
hisA CDS,SGL_RS17225,771,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,slr0652
DUF928 domain-containing protein CDS,SGL_RS03905,768,DUF928 domain-containing protein,sll0645
serine/threonine-protein phosphatase CDS,SGL_RS07545,765,serine/threonine-protein phosphatase,sll1771
metallophosphoesterase family protein CDS,SGL_RS10480,765,metallophosphoesterase family protein,sll1387
iron uptake porin CDS,SGL_RS20030,765,iron uptake porin,
IS5 family transposase CDS,SGL_RS12325,765,IS5 family transposase,sll1861
tatC CDS,SGL_RS13635,765,twin-arginine translocase subunit TatC,sll0194
MotA/TolQ/ExbB proton channel family protein CDS,SGL_RS15490,765,MotA/TolQ/ExbB proton channel family protein,sll0477
pgl CDS,SGL_RS17560,765,6-phosphogluconolactonase,sll1479
HAD family hydrolase CDS,SGL_RS18200,765,HAD family hydrolase,slr0586
ABC transporter ATP-binding protein CDS,SGL_RS18240,765,ABC transporter ATP-binding protein,sll0575
class I SAM-dependent methyltransferase CDS,SGL_RS02140,762,class I SAM-dependent methyltransferase,slr1117
YebC/PmpR family DNA-binding transcriptional regulator CDS,SGL_RS12485,762,YebC/PmpR family DNA-binding transcriptional regulator,slr0989
nucleotidyltransferase family protein CDS,SGL_RS13405,762,nucleotidyltransferase family protein,slr0007
map CDS,SGL_RS14865,762,type I methionyl aminopeptidase,slr0918
hypothetical protein CDS,SGL_RS17270,762,hypothetical protein,slr0654
IS5 family transposase CDS,SGL_RS18980,760,IS5 family transposase,
lptB CDS,SGL_RS02590,759,LPS export ABC transporter ATP-binding protein,slr0251
amino acid ABC transporter ATP-binding protein CDS,SGL_RS08035,759,amino acid ABC transporter ATP-binding protein,slr1735
hypothetical protein CDS,SGL_RS09620,759,hypothetical protein,sll1241
DUF928 domain-containing protein CDS,SGL_RS10265,759,DUF928 domain-containing protein,sll1891
class I SAM-dependent methyltransferase CDS,SGL_RS14070,759,class I SAM-dependent methyltransferase,slr0482
WecB/TagA/CpsF family glycosyltransferase CDS,SGL_RS02150,756,WecB/TagA/CpsF family glycosyltransferase,slr1118
DUF1995 family protein CDS,SGL_RS05220,756,DUF1995 family protein,slr1702
hypothetical protein CDS,SGL_RS05430,756,hypothetical protein,sll1921
SIMPL domain-containing protein CDS,SGL_RS08470,756,SIMPL domain-containing protein,slr1258
alpha/beta hydrolase CDS,SGL_RS08955,756,alpha/beta hydrolase,sll0249
hypothetical protein CDS,SGL_RS02225,753,hypothetical protein,slr1122
HAD family hydrolase CDS,SGL_RS04365,753,HAD family hydrolase,slr1762
heme oxygenase (biliverdin-producing) CDS,SGL_RS10385,753,heme oxygenase (biliverdin-producing),sll1875
response regulator transcription factor CDS,SGL_RS17120,753,response regulator transcription factor,sll1330
hypothetical protein CDS,SGL_RS17335,753,hypothetical protein,sll0623
cysH CDS,SGL_RS03060,750,phosphoadenosine phosphosulfate reductase,slr1791
phycobilisome rod-core linker polypeptide CDS,SGL_RS04660,750,phycobilisome rod-core linker polypeptide,slr2051
hypothetical protein CDS,SGL_RS07510,750,hypothetical protein,slr1869
NYN domain-containing protein CDS,SGL_RS07520,750,NYN domain-containing protein,slr1870
SDR family oxidoreductase CDS,SGL_RS09560,750,SDR family oxidoreductase,slr2124
cysE CDS,SGL_RS10115,750,serine O-acetyltransferase,slr1348
pseudouridine synthase CDS,SGL_RS12865,750,pseudouridine synthase,slr0361
DUF1190 domain-containing protein CDS,SGL_RS13360,750,DUF1190 domain-containing protein,sll0022
grpE CDS,SGL_RS13945,750,nucleotide exchange factor GrpE,sll0057
alpha/beta hydrolase CDS,SGL_RS14475,750,alpha/beta hydrolase,slr0421
urtE CDS,SGL_RS14500,750,urea ABC transporter ATP-binding subunit UrtE,sll0374
PHP domain-containing protein CDS,SGL_RS14960,750,PHP domain-containing protein,sll0549
uppS CDS,SGL_RS16700,750,polyprenyl diphosphate synthase,sll0506
phycobilisome rod-core linker polypeptide CDS,SGL_RS17600,750,phycobilisome rod-core linker polypeptide,sll1471
IS5 family transposase CDS,SGL_RS19085,750,IS5 family transposase,
DUF561 domain-containing protein CDS,SGL_RS04510,747,DUF561 domain-containing protein,slr2032
HAD family phosphatase CDS,SGL_RS06685,747,HAD family phosphatase,sll1138
SDR family NAD(P)-dependent oxidoreductase CDS,SGL_RS07840,747,SDR family NAD(P)-dependent oxidoreductase,sll1709
biotin/lipoate A/B protein ligase family protein CDS,SGL_RS09905,747,biotin/lipoate A/B protein ligase family protein,sll0809
hypothetical protein CDS,SGL_RS10255,747,hypothetical protein,sll1892
ndhK CDS,SGL_RS10730,747,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,slr1280
phycocyanobilin:ferredoxin oxidoreductase CDS,SGL_RS15810,747,phycocyanobilin:ferredoxin oxidoreductase,slr0116
cytochrome c biogenesis protein CcdA CDS,SGL_RS17345,747,cytochrome c biogenesis protein CcdA,sll0621
tetratricopeptide repeat protein CDS,SGL_RS17670,747,tetratricopeptide repeat protein,slr0751
NnrU family protein CDS,SGL_RS04080,744,NnrU family protein,slr1599
fabG CDS,SGL_RS07245,744,3-oxoacyl-[acyl-carrier-protein] reductase,slr0886
aqpZ CDS,SGL_RS08525,744,aquaporin Z,slr2057
hypothetical protein CDS,SGL_RS08575,744,hypothetical protein,sll1949
ddpX CDS,SGL_RS11135,744,D-alanyl-D-alanine dipeptidase DdpX,slr1679
minC CDS,SGL_RS15870,744,septum site-determining protein MinC,sll0288
peptidylprolyl isomerase CDS,SGL_RS02555,741,peptidylprolyl isomerase,sll0227
HEAT repeat domain-containing protein CDS,SGL_RS02790,741,HEAT repeat domain-containing protein,slr1098
sterol desaturase family protein CDS,SGL_RS04070,741,sterol desaturase family protein,sll1510
dienelactone hydrolase family protein CDS,SGL_RS05030,741,dienelactone hydrolase family protein,sll1298
SDR family oxidoreductase CDS,SGL_RS07350,741,SDR family oxidoreductase,sll1308
WecB/TagA/CpsF family glycosyltransferase CDS,SGL_RS10670,741,WecB/TagA/CpsF family glycosyltransferase,slr1271
4'-phosphopantetheinyl transferase superfamily protein CDS,SGL_RS14125,741,4'-phosphopantetheinyl transferase superfamily protein,slr0495
sdhB CDS,SGL_RS15205,738,succinate dehydrogenase iron-sulfur subunit,sll0823
DevA family ABC transporter ATP-binding protein CDS,SGL_RS15420,738,DevA family ABC transporter ATP-binding protein,sll0484
FkbM family methyltransferase CDS,SGL_RS08570,735,FkbM family methyltransferase,sll1950
hypothetical protein CDS,SGL_RS10360,735,hypothetical protein,slr1977
FkbM family methyltransferase CDS,SGL_RS10710,735,FkbM family methyltransferase,sll1173
sucrose-phosphate phosphatase CDS,SGL_RS11425,735,sucrose-phosphate phosphatase,slr0953
YoaK family protein CDS,SGL_RS12095,735,YoaK family protein,slr0142
rnc CDS,SGL_RS13220,735,ribonuclease III,slr0346
creatininase family protein CDS,SGL_RS15575,735,creatininase family protein,sll0596
SDR family oxidoreductase CDS,SGL_RS15980,735,SDR family oxidoreductase,slr0315
hypothetical protein CDS,SGL_RS16935,735,hypothetical protein,slr0552
hypothetical protein CDS,SGL_RS04575,732,hypothetical protein,sll1942
glycoside hydrolase family protein CDS,SGL_RS10245,732,glycoside hydrolase family protein,slr1966
response regulator transcription factor CDS,SGL_RS11370,732,response regulator transcription factor,slr0947
sugar transferase CDS,SGL_RS11535,732,sugar transferase,sll1535
radC CDS,SGL_RS13075,732,DNA repair protein RadC,sll0766
IS1 family transposase CDS,SGL_RS18720,732,IS1 family transposase,
IS1 family transposase CDS,SGL_RS18790,732,IS1 family transposase,
IS1 family transposase CDS,SGL_RS18835,732,IS1 family transposase,
class I SAM-dependent methyltransferase CDS,SGL_RS02130,729,class I SAM-dependent methyltransferase,slr1115
Uma2 family endonuclease CDS,SGL_RS03515,729,Uma2 family endonuclease,slr0976
class I SAM-dependent methyltransferase CDS,SGL_RS03600,729,class I SAM-dependent methyltransferase,slr1618
membrane protein CDS,SGL_RS03775,729,membrane protein,sll1022
precorrin-2 C(20)-methyltransferase CDS,SGL_RS07635,729,precorrin-2 C(20)-methyltransferase,slr1879
Bax inhibitor-1 family protein CDS,SGL_RS08430,729,Bax inhibitor-1 family protein,sll1150
NUDIX domain-containing protein CDS,SGL_RS11250,729,NUDIX domain-containing protein,slr1690
tpiA CDS,SGL_RS13180,729,triose-phosphate isomerase,slr0783
hypothetical protein CDS,SGL_RS02870,726,hypothetical protein,sll1032
pyridoxine 5'-phosphate synthase CDS,SGL_RS02965,726,pyridoxine 5'-phosphate synthase,slr1779
response regulator transcription factor CDS,SGL_RS06080,726,response regulator transcription factor,slr1213
2-phosphosulfolactate phosphatase family protein CDS,SGL_RS08765,726,2-phosphosulfolactate phosphatase family protein,slr1718
TPM domain-containing protein CDS,SGL_RS10450,726,TPM domain-containing protein,sll1390
rpaA CDS,SGL_RS15805,726,two component system response regulator RpaA,slr0115
hypothetical protein CDS,SGL_RS17975,726,hypothetical protein,sll0447
heme oxygenase (biliverdin-producing) CDS,SGL_RS03350,723,heme oxygenase (biliverdin-producing),sll1184
1-acyl-sn-glycerol-3-phosphate acyltransferase CDS,SGL_RS04445,723,1-acyl-sn-glycerol-3-phosphate acyltransferase,sll1752
DUF1449 family protein CDS,SGL_RS04865,723,DUF1449 family protein,sll0994
rpsC CDS,SGL_RS05820,723,30S ribosomal protein S3,sll1804
DUF1997 domain-containing protein CDS,SGL_RS06040,723,DUF1997 domain-containing protein,slr1206
ABC transporter ATP-binding protein CDS,SGL_RS07665,723,ABC transporter ATP-binding protein,slr1881
DUF3120 domain-containing protein CDS,SGL_RS08605,723,DUF3120 domain-containing protein,slr1990
SDR family oxidoreductase CDS,SGL_RS08625,723,SDR family oxidoreductase,slr1994
DUF4230 domain-containing protein CDS,SGL_RS08840,723,DUF4230 domain-containing protein,slr1726
psb29 CDS,SGL_RS09350,723,photosystem II biogenesis protein Psp29,sll1414
pyrH CDS,SGL_RS12175,723,UMP kinase,sll0144
PD-(D/E)XK nuclease family protein CDS,SGL_RS14060,723,PD-(D/E)XK nuclease family protein,slr0479
sufR CDS,SGL_RS15245,723,iron-sulfur cluster biosynthesis transcriptionalregulator SufR,sll0088
TrmJ/YjtD family RNA methyltransferase CDS,SGL_RS15835,723,TrmJ/YjtD family RNA methyltransferase,slr0120
CsgG/HfaB family protein CDS,SGL_RS04760,720,CsgG/HfaB family protein,sll1835
hypothetical protein CDS,SGL_RS05950,720,hypothetical protein,sll1123
hypothetical protein CDS,SGL_RS11880,720,hypothetical protein,sll0263
ubiE CDS,SGL_RS03195,717,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",sll1653
DUF2301 domain-containing membrane protein CDS,SGL_RS05345,717,DUF2301 domain-containing membrane protein,sll1925
rplA CDS,SGL_RS06205,717,50S ribosomal protein L1,sll1744
AEC family transporter CDS,SGL_RS07470,717,AEC family transporter,slr1864
hoxU CDS,SGL_RS09745,717,bidirectional hydrogenase complex protein HoxU,sll1223
Crp/Fnr family transcriptional regulator CDS,SGL_RS10755,717,Crp/Fnr family transcriptional regulator,sll1169
histidine phosphatase family protein CDS,SGL_RS17815,717,histidine phosphatase family protein,sll1549
Crp/Fnr family transcriptional regulator CDS,SGL_RS17960,717,Crp/Fnr family transcriptional regulator,slr0449
DUF2993 domain-containing protein CDS,SGL_RS18230,717,DUF2993 domain-containing protein,slr0590
sfsA CDS,SGL_RS07730,714,DNA/RNA nuclease SfsA,sll2014
bioD CDS,SGL_RS15560,714,dethiobiotin synthase,slr0523
TetR/AcrR family transcriptional regulator CDS,SGL_RS05150,711,TetR/AcrR family transcriptional regulator,sll1286
gamma-glutamyl-gamma-aminobutyrate hydrolase family protein CDS,SGL_RS16730,711,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,slr0541
response regulator transcription factor CDS,SGL_RS03885,708,response regulator transcription factor,sll0649
hypothetical protein CDS,SGL_RS05170,708,hypothetical protein,slr1398
DUF4079 domain-containing protein CDS,SGL_RS08335,708,DUF4079 domain-containing protein,sll1162
hypothetical protein CDS,SGL_RS13350,708,hypothetical protein,sll0024
rpiA CDS,SGL_RS14580,708,ribose-5-phosphate isomerase RpiA,slr0194
CatA-like O-acetyltransferase CDS,SGL_RS15880,708,CatA-like O-acetyltransferase,slr0299
Uma2 family endonuclease CDS,SGL_RS16425,708,Uma2 family endonuclease,sll0740
hypothetical protein CDS,SGL_RS17110,708,hypothetical protein,sll1333
hypothetical protein CDS,SGL_RS05315,705,hypothetical protein,sll1570
response regulator transcription factor CDS,SGL_RS06340,705,response regulator transcription factor,slr1837
MgtC/SapB family protein CDS,SGL_RS13435,705,MgtC/SapB family protein,slr0014
carbonic anhydrase CDS,SGL_RS13835,705,carbonic anhydrase,slr0051
folE CDS,SGL_RS14545,705,GTP cyclohydrolase I FolE,slr0426
hypothetical protein CDS,SGL_RS15730,705,hypothetical protein,slr0106
rppA CDS,SGL_RS16055,705,two-component system response regulator RppA,sll0797
response regulator transcription factor CDS,SGL_RS17605,705,response regulator transcription factor,slr1584
GUN4 domain-containing protein CDS,SGL_RS01890,702,GUN4 domain-containing protein,sll0558
GDSL-type esterase/lipase family protein CDS,SGL_RS02160,702,GDSL-type esterase/lipase family protein,slr1119
class I SAM-dependent methyltransferase CDS,SGL_RS04990,702,class I SAM-dependent methyltransferase,slr1039
ctaE CDS,SGL_RS05550,702,cytochrome c oxidase subunit CtaE,slr1138
HEAT repeat domain-containing protein CDS,SGL_RS11215,702,HEAT repeat domain-containing protein,slr1687
phytol kinase CDS,SGL_RS17800,702,phytol kinase,slr1652
pirin family protein CDS,SGL_RS07530,699,pirin family protein,sll1773
MBL fold metallo-hydrolase CDS,SGL_RS08475,699,MBL fold metallo-hydrolase,slr1259
Crp/Fnr family transcriptional regulator CDS,SGL_RS10605,699,Crp/Fnr family transcriptional regulator,sll1371
hypothetical protein CDS,SGL_RS13345,699,hypothetical protein,sll0309
rppA CDS,SGL_RS16110,699,two-component system response regulator RppA,sll0789
queC CDS,SGL_RS16620,699,7-cyano-7-deazaguanine synthase QueC,slr0527
recR CDS,SGL_RS17075,699,recombination mediator RecR,slr1426
rre1 CDS,SGL_RS02990,696,two-component system response regulator Rre1,slr1783
trmD CDS,SGL_RS03250,696,tRNA (guanosine(37)-N1)-methyltransferase TrmD,sll1198
Uma2 family endonuclease CDS,SGL_RS04860,696,Uma2 family endonuclease,sll0995
hypothetical protein CDS,SGL_RS06250,696,hypothetical protein,sll1738
pyrF CDS,SGL_RS08270,696,orotidine-5'-phosphate decarboxylase,sll0838
rnc CDS,SGL_RS11650,696,ribonuclease III,slr1646
alpha/beta hydrolase CDS,SGL_RS12310,696,alpha/beta hydrolase,slr1932
aldehyde oxygenase (deformylating) CDS,SGL_RS13555,696,aldehyde oxygenase (deformylating),sll0208
rpe CDS,SGL_RS09950,693,ribulose-phosphate 3-epimerase,sll0807
ispD CDS,SGL_RS11415,693,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,slr0951
bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase CDS,SGL_RS15700,693,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,sll0107
bchM CDS,SGL_RS16610,693,magnesium protoporphyrin IX methyltransferase,slr0525
hypothetical protein CDS,SGL_RS17035,693,hypothetical protein,sll1344
hypothetical protein CDS,SGL_RS17650,693,hypothetical protein,slr0748
ABC transporter permease CDS,SGL_RS18385,693,ABC transporter permease,slr0610
hypB CDS,SGL_RS05580,690,hydrogenase nickel incorporation protein HypB,sll1079
pentapeptide repeat-containing protein CDS,SGL_RS09390,690,pentapeptide repeat-containing protein,slr1519
DnaJ family molecular chaperone CDS,SGL_RS11410,687,DnaJ family molecular chaperone,sll0909
IS701 family transposase CDS,SGL_RS20015,687,IS701 family transposase,
TrkA family potassium uptake protein CDS,SGL_RS16795,687,TrkA family potassium uptake protein,sll0493
response regulator transcription factor CDS,SGL_RS17905,687,response regulator transcription factor,sll1544
IS5 family transposase CDS,SGL_RS18785,>685,IS5 family transposase,
pseudouridine synthase CDS,SGL_RS01880,684,pseudouridine synthase,slr0612
MotA/TolQ/ExbB proton channel family protein CDS,SGL_RS03845,684,MotA/TolQ/ExbB proton channel family protein,slr0677
slipin family protein CDS,SGL_RS09855,684,slipin family protein,sll0815
lipB CDS,SGL_RS12510,684,lipoyl(octanoyl) transferase LipB,slr0994
SIMPL domain-containing protein CDS,SGL_RS13695,684,SIMPL domain-containing protein,slr0431
helix-turn-helix domain-containing protein CDS,SGL_RS13820,684,helix-turn-helix domain-containing protein,sll0072
glycoside hydrolase family protein CDS,SGL_RS16070,684,glycoside hydrolase family protein,slr0795
response regulator transcription factor CDS,SGL_RS08855,681,response regulator transcription factor,sll1592
methionine ABC transporter ATP-binding protein CDS,SGL_RS10420,681,methionine ABC transporter ATP-binding protein,sll1870
ribE CDS,SGL_RS12575,681,riboflavin synthase,sll0300
TrkA family potassium uptake protein CDS,SGL_RS13035,681,TrkA family potassium uptake protein,slr0773
phosphatase PAP2 family protein CDS,SGL_RS14980,681,phosphatase PAP2 family protein,sll0545
clpP CDS,SGL_RS16910,681,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,sll0534
TIGR00266 family protein CDS,SGL_RS17485,681,TIGR00266 family protein,slr1571
surE CDS,SGL_RS06530,678,5'/3'-nucleotidase SurE,sll1459
deoC CDS,SGL_RS07490,678,deoxyribose-phosphate aldolase,sll1776
ntcA CDS,SGL_RS09285,678,global nitrogen regulator NtcA,sll1423
acylneuraminate cytidylyltransferase CDS,SGL_RS09550,678,acylneuraminate cytidylyltransferase,slr2122
uracil-DNA glycosylase family protein CDS,SGL_RS09785,678,uracil-DNA glycosylase family protein,sll1217
ATP-dependent Clp protease proteolytic subunit CDS,SGL_RS12225,678,ATP-dependent Clp protease proteolytic subunit,slr0164
lysophospholipid acyltransferase family protein CDS,SGL_RS12400,678,lysophospholipid acyltransferase family protein,sll1848
class I SAM-dependent methyltransferase CDS,SGL_RS17315,678,class I SAM-dependent methyltransferase,sll0625
GNAT family N-acetyltransferase CDS,SGL_RS02115,675,GNAT family N-acetyltransferase,slr1501
hypothetical protein CDS,SGL_RS02270,675,hypothetical protein,slr1127
phoU CDS,SGL_RS02460,675,phosphate signaling complex protein PhoU,slr0741
