,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
127:21:07,6170,102.8333333,0.487,0.463,0.381
127:21:08,6171,102.85,0.487,0.463,0.38
127:21:09,6172,102.8666667,0.489,0.463,0.381
127:21:10,6173,102.8833333,0.488,0.463,0.38
127:21:11,6174,102.9,0.488,0.463,0.381
127:21:12,6175,102.9166667,0.486,0.463,0.38
127:21:13,6176,102.9333333,0.486,0.463,0.38
127:21:14,6177,102.95,0.487,0.463,0.38
127:21:15,6178,102.9666667,0.487,0.463,0.38
127:21:16,6179,102.9833333,0.486,0.463,0.38
127:21:17,6180,103,0.485,0.462,0.38
127:21:18,6181,103.0166667,0.486,0.462,0.38
127:21:19,6182,103.0333333,0.486,0.462,0.38
127:21:20,6183,103.05,0.486,0.461,0.38
127:21:21,6184,103.0666667,0.485,0.461,0.379
127:21:22,6185,103.0833333,0.486,0.462,0.38
127:21:23,6186,103.1,0.486,0.462,0.379
127:21:24,6187,103.1166667,0.487,0.462,0.379
127:21:25,6188,103.1333333,0.485,0.462,0.378
127:21:26,6189,103.15,0.485,0.462,0.379
127:21:27,6190,103.1666667,0.485,0.462,0.378
127:21:28,6191,103.1833333,0.486,0.462,0.379
127:21:29,6192,103.2,0.485,0.462,0.378
127:21:30,6193,103.2166667,0.485,0.461,0.378
127:21:31,6194,103.2333333,0.484,0.461,0.378
127:21:32,6195,103.25,0.485,0.461,0.378
127:21:33,6196,103.2666667,0.486,0.461,0.378
127:21:34,6197,103.2833333,0.486,0.461,0.378
127:21:35,6198,103.3,0.485,0.461,0.378
127:21:36,6199,103.3166667,0.484,0.461,0.377
127:21:37,6200,103.3333333,0.485,0.461,0.378
127:21:38,6201,103.35,0.486,0.461,0.377
127:21:39,6202,103.3666667,0.486,0.462,0.378
127:21:40,6203,103.3833333,0.485,0.461,0.377
127:21:41,6204,103.4,0.484,0.461,0.378
127:21:42,6205,103.4166667,0.484,0.461,0.377
127:21:43,6206,103.4333333,0.485,0.462,0.378
127:21:44,6207,103.45,0.485,0.461,0.377
127:21:45,6208,103.4666667,0.484,0.461,0.378
127:21:46,6209,103.4833333,0.483,0.461,0.377
127:21:47,6210,103.5,0.484,0.461,0.378
127:21:48,6211,103.5166667,0.484,0.461,0.377
127:21:49,6212,103.5333333,0.484,0.461,0.377
127:21:50,6213,103.55,0.483,0.461,0.377
127:21:51,6214,103.5666667,0.483,0.461,0.377
127:21:52,6215,103.5833333,0.484,0.461,0.377
127:21:53,6216,103.6,0.484,0.461,0.377
127:21:54,6217,103.6166667,0.484,0.461,0.377
127:21:55,6218,103.6333333,0.482,0.46,0.376
127:21:56,6219,103.65,0.482,0.461,0.376
127:21:57,6220,103.6666667,0.482,0.46,0.376
127:21:58,6221,103.6833333,0.483,0.461,0.377
127:21:59,6222,103.7,0.483,0.46,0.375
127:22:00,6223,103.7166667,0.483,0.46,0.376
127:22:01,6224,103.7333333,0.482,0.46,0.375
127:22:02,6225,103.75,0.482,0.46,0.376
127:22:03,6226,103.7666667,0.482,0.46,0.375
127:22:04,6227,103.7833333,0.483,0.46,0.376
127:22:05,6228,103.8,0.482,0.46,0.375
127:22:06,6229,103.8166667,0.482,0.46,0.375
127:22:07,6230,103.8333333,0.481,0.46,0.374
127:22:08,6231,103.85,0.481,0.46,0.375
127:22:09,6232,103.8666667,0.482,0.46,0.375
127:22:10,6233,103.8833333,0.482,0.459,0.375
127:22:11,6234,103.9,0.482,0.46,0.375
127:22:12,6235,103.9166667,0.482,0.459,0.374
127:22:13,6236,103.9333333,0.481,0.459,0.375
127:22:14,6237,103.95,0.481,0.459,0.374
127:22:15,6238,103.9666667,0.482,0.459,0.375
127:22:16,6239,103.9833333,0.482,0.459,0.374
127:22:17,6240,104,0.482,0.459,0.375
127:22:18,6241,104.0166667,0.481,0.459,0.374
127:22:19,6242,104.0333333,0.481,0.459,0.375
127:22:20,6243,104.05,0.48,0.458,0.374
127:22:21,6244,104.0666667,0.481,0.458,0.374
127:22:22,6245,104.0833333,0.481,0.459,0.374
127:22:23,6246,104.1,0.481,0.458,0.374
127:22:24,6247,104.1166667,0.481,0.459,0.374
127:22:25,6248,104.1333333,0.48,0.458,0.374
127:22:26,6249,104.15,0.48,0.459,0.374
127:22:27,6250,104.1666667,0.48,0.459,0.374
127:22:28,6251,104.1833333,0.481,0.459,0.374
127:22:29,6252,104.2,0.481,0.459,0.373
127:22:30,6253,104.2166667,0.48,0.459,0.374
127:22:31,6254,104.2333333,0.479,0.458,0.373
127:22:32,6255,104.25,0.479,0.459,0.374
127:22:33,6256,104.2666667,0.48,0.458,0.373
127:22:34,6257,104.2833333,0.481,0.459,0.373
127:22:35,6258,104.3,0.48,0.458,0.372
127:22:36,6259,104.3166667,0.48,0.458,0.373
127:22:37,6260,104.3333333,0.479,0.458,0.373
127:22:38,6261,104.35,0.48,0.458,0.373
127:22:39,6262,104.3666667,0.48,0.458,0.372
127:22:40,6263,104.3833333,0.48,0.458,0.373
127:22:41,6264,104.4,0.479,0.458,0.372
127:22:42,6265,104.4166667,0.479,0.458,0.372
127:22:43,6266,104.4333333,0.48,0.458,0.372
127:22:44,6267,104.45,0.479,0.458,0.372
127:22:45,6268,104.4666667,0.479,0.458,0.372
127:22:46,6269,104.4833333,0.478,0.457,0.372
127:22:47,6270,104.5,0.478,0.457,0.372
127:22:48,6271,104.5166667,0.478,0.457,0.371
127:22:49,6272,104.5333333,0.479,0.457,0.372
127:22:50,6273,104.55,0.478,0.457,0.371
127:22:51,6274,104.5666667,0.478,0.457,0.372
127:22:52,6275,104.5833333,0.477,0.457,0.371
127:22:53,6276,104.6,0.478,0.457,0.372
127:22:54,6277,104.6166667,0.477,0.457,0.371
127:22:55,6278,104.6333333,0.479,0.457,0.372
127:22:56,6279,104.65,0.478,0.456,0.371
127:22:57,6280,104.6666667,0.477,0.456,0.371
127:22:58,6281,104.6833333,0.476,0.456,0.37
127:22:59,6282,104.7,0.477,0.456,0.371
127:23:00,6283,104.7166667,0.477,0.456,0.371
127:23:01,6284,104.7333333,0.478,0.456,0.371
127:23:02,6285,104.75,0.479,0.456,0.371
127:23:03,6286,104.7666667,0.478,0.456,0.37
127:23:04,6287,104.7833333,0.478,0.456,0.371
127:23:05,6288,104.8,0.477,0.456,0.37
127:23:06,6289,104.8166667,0.477,0.456,0.37
127:23:07,6290,104.8333333,0.477,0.456,0.37
127:23:08,6291,104.85,0.478,0.456,0.37
127:23:09,6292,104.8666667,0.477,0.455,0.369
127:23:10,6293,104.8833333,0.477,0.456,0.37
127:23:11,6294,104.9,0.476,0.455,0.369
127:23:12,6295,104.9166667,0.476,0.455,0.369
127:23:13,6296,104.9333333,0.476,0.455,0.369
127:23:14,6297,104.95,0.477,0.455,0.369
127:23:15,6298,104.9666667,0.477,0.455,0.369
127:23:16,6299,104.9833333,0.477,0.454,0.369
127:23:17,6300,105,0.476,0.455,0.368
127:23:18,6301,105.0166667,0.475,0.455,0.369
127:23:19,6302,105.0333333,0.475,0.455,0.368
127:23:20,6303,105.05,0.476,0.455,0.368
127:23:21,6304,105.0666667,0.477,0.456,0.368
127:23:22,6305,105.0833333,0.476,0.455,0.367
127:23:23,6306,105.1,0.476,0.455,0.368
127:23:24,6307,105.1166667,0.474,0.454,0.367
127:23:25,6308,105.1333333,0.476,0.455,0.367
127:23:26,6309,105.15,0.475,0.454,0.367
127:23:27,6310,105.1666667,0.476,0.455,0.367
127:23:28,6311,105.1833333,0.476,0.454,0.366
127:23:29,6312,105.2,0.476,0.454,0.367
127:23:30,6313,105.2166667,0.474,0.454,0.366
127:23:31,6314,105.2333333,0.474,0.454,0.366
127:23:32,6315,105.25,0.474,0.454,0.366
127:23:33,6316,105.2666667,0.475,0.454,0.366
127:23:34,6317,105.2833333,0.475,0.453,0.366
127:23:35,6318,105.3,0.475,0.453,0.366
127:23:36,6319,105.3166667,0.474,0.453,0.365
127:23:37,6320,105.3333333,0.474,0.453,0.366
127:23:38,6321,105.35,0.474,0.454,0.366
127:23:39,6322,105.3666667,0.475,0.454,0.366
127:23:40,6323,105.3833333,0.475,0.454,0.365
127:23:41,6324,105.4,0.474,0.453,0.365
127:23:42,6325,105.4166667,0.474,0.454,0.366
127:23:43,6326,105.4333333,0.473,0.453,0.365
127:23:44,6327,105.45,0.474,0.454,0.366
127:23:45,6328,105.4666667,0.474,0.454,0.365
127:23:46,6329,105.4833333,0.474,0.454,0.365
127:23:47,6330,105.5,0.473,0.454,0.364
127:23:48,6331,105.5166667,0.473,0.454,0.365
127:23:49,6332,105.5333333,0.472,0.454,0.364
127:23:50,6333,105.55,0.473,0.455,0.365
127:23:51,6334,105.5666667,0.473,0.454,0.364
127:23:52,6335,105.5833333,0.473,0.454,0.364
127:23:53,6336,105.6,0.473,0.453,0.364
127:23:54,6337,105.6166667,0.472,0.452,0.364
127:23:55,6338,105.6333333,0.471,0.452,0.363
127:23:56,6339,105.65,0.472,0.452,0.363
127:23:57,6340,105.6666667,0.472,0.452,0.363
127:23:58,6341,105.6833333,0.472,0.452,0.363
127:23:59,6342,105.7,0.473,0.452,0.363
127:24:00,6343,105.7166667,0.472,0.452,0.363
127:24:01,6344,105.7333333,0.471,0.452,0.363
127:24:02,6345,105.75,0.471,0.452,0.362
127:24:03,6346,105.7666667,0.472,0.452,0.363
127:24:04,6347,105.7833333,0.472,0.452,0.362
127:24:05,6348,105.8,0.473,0.452,0.363
127:24:06,6349,105.8166667,0.472,0.451,0.362
127:24:07,6350,105.8333333,0.472,0.451,0.362
127:24:08,6351,105.85,0.471,0.451,0.361
127:24:09,6352,105.8666667,0.471,0.451,0.362
127:24:10,6353,105.8833333,0.47,0.451,0.362
127:24:11,6354,105.9,0.471,0.451,0.362
127:24:12,6355,105.9166667,0.471,0.451,0.361
127:24:13,6356,105.9333333,0.471,0.451,0.362
127:24:14,6357,105.95,0.471,0.452,0.362
127:24:15,6358,105.9666667,0.47,0.451,0.361
127:24:16,6359,105.9833333,0.47,0.452,0.362
127:24:17,6360,106,0.47,0.451,0.362
127:24:18,6361,106.0166667,0.471,0.451,0.362
127:24:19,6362,106.0333333,0.471,0.451,0.361
127:24:20,6363,106.05,0.471,0.451,0.362
127:24:21,6364,106.0666667,0.47,0.451,0.361
127:24:22,6365,106.0833333,0.47,0.451,0.361
127:24:23,6366,106.1,0.469,0.451,0.361
127:24:24,6367,106.1166667,0.47,0.451,0.361
127:24:25,6368,106.1333333,0.471,0.451,0.361
127:24:26,6369,106.15,0.471,0.451,0.361
127:24:27,6370,106.1666667,0.469,0.45,0.36
127:24:28,6371,106.1833333,0.469,0.45,0.36
127:24:29,6372,106.2,0.468,0.45,0.36
127:24:30,6373,106.2166667,0.469,0.45,0.36
127:24:31,6374,106.2333333,0.469,0.451,0.36
127:24:32,6375,106.25,0.47,0.45,0.36
127:24:33,6376,106.2666667,0.47,0.45,0.36
127:24:34,6377,106.2833333,0.469,0.45,0.359
127:24:35,6378,106.3,0.469,0.45,0.36
127:24:36,6379,106.3166667,0.469,0.45,0.36
127:24:37,6380,106.3333333,0.47,0.45,0.361
127:24:38,6381,106.35,0.469,0.449,0.359
127:24:39,6382,106.3666667,0.468,0.449,0.36
127:24:40,6383,106.3833333,0.467,0.449,0.359
127:24:41,6384,106.4,0.468,0.45,0.36
127:24:42,6385,106.4166667,0.468,0.449,0.359
127:24:43,6386,106.4333333,0.468,0.449,0.359
127:24:44,6387,106.45,0.468,0.449,0.358
127:24:45,6388,106.4666667,0.467,0.449,0.359
127:24:46,6389,106.4833333,0.467,0.449,0.359
127:24:47,6390,106.5,0.468,0.449,0.359
127:24:48,6391,106.5166667,0.468,0.449,0.359
127:24:49,6392,106.5333333,0.469,0.449,0.359
127:24:50,6393,106.55,0.468,0.449,0.359
127:24:51,6394,106.5666667,0.467,0.448,0.358
127:24:52,6395,106.5833333,0.467,0.448,0.359
127:24:53,6396,106.6,0.467,0.448,0.358
127:24:54,6397,106.6166667,0.468,0.448,0.359
127:24:55,6398,106.6333333,0.467,0.447,0.359
127:24:56,6399,106.65,0.467,0.448,0.359
127:24:57,6400,106.6666667,0.465,0.447,0.358
127:24:58,6401,106.6833333,0.466,0.447,0.359
127:24:59,6402,106.7,0.466,0.447,0.359
127:25:00,6403,106.7166667,0.467,0.447,0.359
127:25:01,6404,106.7333333,0.467,0.447,0.358
127:25:02,6405,106.75,0.467,0.447,0.359
127:25:03,6406,106.7666667,0.466,0.447,0.358
127:25:04,6407,106.7833333,0.466,0.447,0.359
127:25:05,6408,106.8,0.466,0.448,0.359
127:25:06,6409,106.8166667,0.466,0.448,0.359
127:25:07,6410,106.8333333,0.466,0.448,0.359
127:25:08,6411,106.85,0.466,0.447,0.358
127:25:09,6412,106.8666667,0.467,0.448,0.359
127:25:10,6413,106.8833333,0.466,0.447,0.358
127:25:11,6414,106.9,0.466,0.448,0.359
127:25:12,6415,106.9166667,0.465,0.447,0.358
127:25:13,6416,106.9333333,0.466,0.448,0.359
127:25:14,6417,106.95,0.466,0.447,0.358
127:25:15,6418,106.9666667,0.466,0.448,0.358
127:25:16,6419,106.9833333,0.465,0.447,0.357
127:25:17,6420,107,0.465,0.447,0.358
127:25:18,6421,107.0166667,0.464,0.447,0.357
127:25:19,6422,107.0333333,0.465,0.447,0.358
127:25:20,6423,107.05,0.465,0.446,0.358
127:25:21,6424,107.0666667,0.466,0.446,0.358
127:25:22,6425,107.0833333,0.465,0.445,0.357
127:25:23,6426,107.1,0.464,0.445,0.358
127:25:24,6427,107.1166667,0.464,0.445,0.358
127:25:25,6428,107.1333333,0.464,0.445,0.357
127:25:26,6429,107.15,0.465,0.445,0.358
127:25:27,6430,107.1666667,0.465,0.445,0.357
127:25:28,6431,107.1833333,0.465,0.445,0.358
127:25:29,6432,107.2,0.465,0.445,0.357
127:25:30,6433,107.2166667,0.464,0.445,0.358
127:25:31,6434,107.2333333,0.463,0.444,0.357
127:25:32,6435,107.25,0.464,0.445,0.357
127:25:33,6436,107.2666667,0.463,0.445,0.357
127:25:34,6437,107.2833333,0.464,0.445,0.357
127:25:35,6438,107.3,0.464,0.444,0.357
127:25:36,6439,107.3166667,0.464,0.444,0.357
127:25:37,6440,107.3333333,0.464,0.444,0.356
127:25:38,6441,107.35,0.463,0.444,0.357
127:25:39,6442,107.3666667,0.462,0.444,0.356
127:25:40,6443,107.3833333,0.463,0.444,0.356
127:25:41,6444,107.4,0.463,0.444,0.356
127:25:42,6445,107.4166667,0.464,0.444,0.356
127:25:43,6446,107.4333333,0.464,0.444,0.356
127:25:44,6447,107.45,0.464,0.443,0.356
127:25:45,6448,107.4666667,0.464,0.444,0.356
127:25:46,6449,107.4833333,0.462,0.443,0.355
127:25:47,6450,107.5,0.462,0.444,0.356
127:25:48,6451,107.5166667,0.461,0.443,0.355
127:25:49,6452,107.5333333,0.462,0.444,0.356
127:25:50,6453,107.55,0.462,0.444,0.355
127:25:51,6454,107.5666667,0.463,0.443,0.356
127:25:52,6455,107.5833333,0.463,0.443,0.355
127:25:53,6456,107.6,0.464,0.443,0.356
127:25:54,6457,107.6166667,0.463,0.442,0.355
127:25:55,6458,107.6333333,0.463,0.442,0.356
127:25:56,6459,107.65,0.462,0.442,0.355
127:25:57,6460,107.6666667,0.462,0.442,0.355
127:25:58,6461,107.6833333,0.461,0.442,0.355
127:25:59,6462,107.7,0.461,0.442,0.355
127:26:00,6463,107.7166667,0.461,0.443,0.355
127:26:01,6464,107.7333333,0.461,0.443,0.354
127:26:02,6465,107.75,0.462,0.443,0.355
127:26:03,6466,107.7666667,0.462,0.443,0.355
127:26:04,6467,107.7833333,0.463,0.443,0.355
127:26:05,6468,107.8,0.461,0.443,0.354
127:26:06,6469,107.8166667,0.462,0.444,0.355
127:26:07,6470,107.8333333,0.461,0.443,0.354
127:26:08,6471,107.85,0.461,0.443,0.355
127:26:09,6472,107.8666667,0.46,0.443,0.354
127:26:10,6473,107.8833333,0.461,0.444,0.354
127:26:11,6474,107.9,0.46,0.443,0.354
127:26:12,6475,107.9166667,0.461,0.444,0.354
127:26:13,6476,107.9333333,0.461,0.443,0.354
127:26:14,6477,107.95,0.462,0.444,0.354
127:26:15,6478,107.9666667,0.461,0.443,0.354
127:26:16,6479,107.9833333,0.461,0.443,0.354
127:26:17,6480,108,0.46,0.443,0.354
127:26:18,6481,108.0166667,0.459,0.443,0.353
127:26:19,6482,108.0333333,0.46,0.443,0.353
127:26:20,6483,108.05,0.459,0.443,0.353
127:26:21,6484,108.0666667,0.46,0.443,0.353
127:26:22,6485,108.0833333,0.46,0.443,0.353
127:26:23,6486,108.1,0.461,0.443,0.353
127:26:24,6487,108.1166667,0.46,0.442,0.352
127:26:25,6488,108.1333333,0.46,0.442,0.353
127:26:26,6489,108.15,0.459,0.442,0.352
127:26:27,6490,108.1666667,0.459,0.442,0.353
127:26:28,6491,108.1833333,0.458,0.442,0.353
127:26:29,6492,108.2,0.459,0.442,0.353
127:26:30,6493,108.2166667,0.459,0.442,0.352
127:26:31,6494,108.2333333,0.46,0.442,0.353
127:26:32,6495,108.25,0.459,0.442,0.352
127:26:33,6496,108.2666667,0.459,0.441,0.352
127:26:34,6497,108.2833333,0.458,0.441,0.352
127:26:35,6498,108.3,0.458,0.441,0.352
127:26:36,6499,108.3166667,0.459,0.441,0.352
127:26:37,6500,108.3333333,0.459,0.441,0.352
127:26:38,6501,108.35,0.459,0.441,0.352
127:26:39,6502,108.3666667,0.458,0.441,0.351
127:26:40,6503,108.3833333,0.458,0.441,0.352
127:26:41,6504,108.4,0.458,0.441,0.35
127:26:42,6505,108.4166667,0.459,0.442,0.352
127:26:43,6506,108.4333333,0.459,0.442,0.351
127:26:44,6507,108.45,0.459,0.442,0.351
127:26:45,6508,108.4666667,0.458,0.441,0.35
127:26:46,6509,108.4833333,0.458,0.441,0.351
127:26:47,6510,108.5,0.457,0.441,0.35
127:26:48,6511,108.5166667,0.457,0.441,0.35
127:26:49,6512,108.5333333,0.457,0.441,0.35
127:26:50,6513,108.55,0.458,0.441,0.35
127:26:51,6514,108.5666667,0.458,0.44,0.349
127:26:52,6515,108.5833333,0.457,0.44,0.349
127:26:53,6516,108.6,0.457,0.44,0.349
127:26:54,6517,108.6166667,0.457,0.44,0.349
127:26:55,6518,108.6333333,0.458,0.44,0.349
127:26:56,6519,108.65,0.458,0.44,0.349
127:26:57,6520,108.6666667,0.458,0.44,0.349
127:26:58,6521,108.6833333,0.456,0.44,0.348
127:26:59,6522,108.7,0.457,0.44,0.349
127:27:00,6523,108.7166667,0.456,0.44,0.348
127:27:01,6524,108.7333333,0.458,0.44,0.349
127:27:02,6525,108.75,0.457,0.44,0.347
127:27:03,6526,108.7666667,0.457,0.44,0.348
127:27:04,6527,108.7833333,0.456,0.44,0.347
127:27:05,6528,108.8,0.457,0.441,0.348
127:27:06,6529,108.8166667,0.457,0.44,0.348
127:27:07,6530,108.8333333,0.457,0.44,0.348
127:27:08,6531,108.85,0.456,0.44,0.347
127:27:09,6532,108.8666667,0.456,0.44,0.347
127:27:10,6533,108.8833333,0.456,0.44,0.347
127:27:11,6534,108.9,0.457,0.44,0.347
127:27:12,6535,108.9166667,0.457,0.44,0.347
127:27:13,6536,108.9333333,0.455,0.44,0.347
127:27:14,6537,108.95,0.456,0.44,0.347
127:27:15,6538,108.9666667,0.456,0.44,0.346
127:27:16,6539,108.9833333,0.457,0.44,0.347
127:27:17,6540,109,0.455,0.439,0.346
127:27:18,6541,109.0166667,0.455,0.44,0.347
127:27:19,6542,109.0333333,0.455,0.439,0.346
127:27:20,6543,109.05,0.457,0.44,0.346
127:27:21,6544,109.0666667,0.455,0.439,0.345
127:27:22,6545,109.0833333,0.455,0.439,0.346
127:27:23,6546,109.1,0.454,0.44,0.346
127:27:24,6547,109.1166667,0.456,0.44,0.346
127:27:25,6548,109.1333333,0.455,0.44,0.345
127:27:26,6549,109.15,0.454,0.44,0.346
127:27:27,6550,109.1666667,0.455,0.44,0.345
127:27:28,6551,109.1833333,0.456,0.44,0.345
127:27:29,6552,109.2,0.455,0.44,0.345
127:27:30,6553,109.2166667,0.454,0.44,0.345
127:27:31,6554,109.2333333,0.455,0.44,0.346
127:27:32,6555,109.25,0.455,0.44,0.345
127:27:33,6556,109.2666667,0.455,0.44,0.345
127:27:34,6557,109.2833333,0.454,0.44,0.345
127:27:35,6558,109.3,0.456,0.44,0.346
127:27:36,6559,109.3166667,0.455,0.44,0.344
127:27:37,6560,109.3333333,0.455,0.44,0.345
127:27:38,6561,109.35,0.454,0.439,0.345
127:27:39,6562,109.3666667,0.455,0.44,0.346
127:27:40,6563,109.3833333,0.454,0.439,0.344
127:27:41,6564,109.4,0.454,0.439,0.346
127:27:42,6565,109.4166667,0.454,0.44,0.345
127:27:43,6566,109.4333333,0.455,0.44,0.346
127:27:44,6567,109.45,0.455,0.44,0.345
127:27:45,6568,109.4666667,0.454,0.44,0.345
127:27:46,6569,109.4833333,0.454,0.44,0.345
127:27:47,6570,109.5,0.455,0.44,0.345
127:27:48,6571,109.5166667,0.455,0.44,0.345
127:27:49,6572,109.5333333,0.454,0.439,0.345
127:27:50,6573,109.55,0.454,0.44,0.345
127:27:51,6574,109.5666667,0.454,0.44,0.345
127:27:52,6575,109.5833333,0.455,0.44,0.345
127:27:53,6576,109.6,0.454,0.439,0.345
127:27:54,6577,109.6166667,0.454,0.44,0.346
127:27:55,6578,109.6333333,0.453,0.44,0.345
127:27:56,6579,109.65,0.455,0.44,0.346
127:27:57,6580,109.6666667,0.454,0.439,0.344
127:27:58,6581,109.6833333,0.454,0.439,0.345
127:27:59,6582,109.7,0.454,0.44,0.344
127:28:00,6583,109.7166667,0.454,0.439,0.345
127:28:01,6584,109.7333333,0.455,0.439,0.344
127:28:02,6585,109.75,0.454,0.439,0.345
127:28:03,6586,109.7666667,0.454,0.439,0.345
127:28:04,6587,109.7833333,0.453,0.438,0.344
127:28:05,6588,109.8,0.454,0.439,0.345
127:28:06,6589,109.8166667,0.454,0.438,0.345
127:28:07,6590,109.8333333,0.455,0.439,0.345
127:28:08,6591,109.85,0.454,0.438,0.344
127:28:09,6592,109.8666667,0.454,0.439,0.345
127:28:10,6593,109.8833333,0.454,0.439,0.344
127:28:11,6594,109.9,0.455,0.439,0.345
127:28:12,6595,109.9166667,0.454,0.439,0.344
127:28:13,6596,109.9333333,0.454,0.439,0.345
127:28:14,6597,109.95,0.453,0.439,0.344
127:28:15,6598,109.9666667,0.454,0.44,0.345
127:28:16,6599,109.9833333,0.455,0.44,0.344
127:28:17,6600,110,0.455,0.44,0.344
127:28:18,6601,110.0166667,0.454,0.44,0.344
127:28:19,6602,110.0333333,0.454,0.44,0.344
127:28:20,6603,110.05,0.454,0.441,0.344
127:28:21,6604,110.0666667,0.454,0.44,0.344
127:28:22,6605,110.0833333,0.454,0.44,0.344
127:28:23,6606,110.1,0.453,0.44,0.344
127:28:24,6607,110.1166667,0.453,0.44,0.344
127:28:25,6608,110.1333333,0.454,0.44,0.344
127:28:26,6609,110.15,0.455,0.44,0.344
127:28:27,6610,110.1666667,0.454,0.44,0.344
127:28:28,6611,110.1833333,0.454,0.44,0.344
127:28:29,6612,110.2,0.453,0.44,0.344
127:28:30,6613,110.2166667,0.455,0.44,0.345
127:28:31,6614,110.2333333,0.455,0.44,0.343
127:28:32,6615,110.25,0.455,0.44,0.344
127:28:33,6616,110.2666667,0.453,0.44,0.344
127:28:34,6617,110.2833333,0.454,0.44,0.344
127:28:35,6618,110.3,0.454,0.44,0.344
127:28:36,6619,110.3166667,0.455,0.44,0.344
127:28:37,6620,110.3333333,0.454,0.44,0.343
127:28:38,6621,110.35,0.453,0.439,0.344
127:28:39,6622,110.3666667,0.454,0.44,0.344
127:28:40,6623,110.3833333,0.454,0.439,0.343
127:28:41,6624,110.4,0.455,0.439,0.344
127:28:42,6625,110.4166667,0.453,0.439,0.343
127:28:43,6626,110.4333333,0.454,0.439,0.343
127:28:44,6627,110.45,0.454,0.439,0.343
127:28:45,6628,110.4666667,0.455,0.44,0.343
127:28:46,6629,110.4833333,0.454,0.439,0.342
127:28:47,6630,110.5,0.454,0.439,0.343
127:28:48,6631,110.5166667,0.453,0.439,0.343
127:28:49,6632,110.5333333,0.455,0.439,0.344
127:28:50,6633,110.55,0.454,0.439,0.342
127:28:51,6634,110.5666667,0.454,0.439,0.343
127:28:52,6635,110.5833333,0.452,0.439,0.342
127:28:53,6636,110.6,0.453,0.439,0.343
127:28:54,6637,110.6166667,0.454,0.439,0.343
127:28:55,6638,110.6333333,0.455,0.439,0.344
127:28:56,6639,110.65,0.455,0.44,0.343
127:28:57,6640,110.6666667,0.453,0.439,0.343
127:28:58,6641,110.6833333,0.453,0.439,0.343
127:28:59,6642,110.7,0.453,0.439,0.343
127:29:00,6643,110.7166667,0.455,0.439,0.344
127:29:01,6644,110.7333333,0.454,0.439,0.342
127:29:02,6645,110.75,0.454,0.439,0.343
127:29:03,6646,110.7666667,0.453,0.439,0.342
127:29:04,6647,110.7833333,0.454,0.44,0.344
127:29:05,6648,110.8,0.455,0.44,0.343
127:29:06,6649,110.8166667,0.456,0.44,0.343
127:29:07,6650,110.8333333,0.455,0.439,0.343
127:29:08,6651,110.85,0.454,0.44,0.344
127:29:09,6652,110.8666667,0.453,0.44,0.343
127:29:10,6653,110.8833333,0.454,0.441,0.343
127:29:11,6654,110.9,0.454,0.441,0.343
127:29:12,6655,110.9166667,0.454,0.441,0.343
127:29:13,6656,110.9333333,0.453,0.441,0.343
127:29:14,6657,110.95,0.454,0.441,0.343
127:29:15,6658,110.9666667,0.454,0.442,0.343
127:29:16,6659,110.9833333,0.455,0.441,0.343
127:29:17,6660,111,0.455,0.441,0.343
127:29:18,6661,111.0166667,0.453,0.441,0.343
127:29:19,6662,111.0333333,0.454,0.442,0.344
127:29:20,6663,111.05,0.454,0.442,0.343
127:29:21,6664,111.0666667,0.455,0.442,0.343
127:29:22,6665,111.0833333,0.454,0.441,0.342
127:29:23,6666,111.1,0.453,0.442,0.343
127:29:24,6667,111.1166667,0.453,0.442,0.343
127:29:25,6668,111.1333333,0.455,0.442,0.343
127:29:26,6669,111.15,0.454,0.442,0.342
127:29:27,6670,111.1666667,0.454,0.441,0.343
127:29:28,6671,111.1833333,0.453,0.441,0.343
127:29:29,6672,111.2,0.454,0.442,0.343
127:29:30,6673,111.2166667,0.455,0.442,0.343
127:29:31,6674,111.2333333,0.455,0.441,0.343
127:29:32,6675,111.25,0.454,0.442,0.343
127:29:33,6676,111.2666667,0.454,0.441,0.343
127:29:34,6677,111.2833333,0.454,0.442,0.343
127:29:35,6678,111.3,0.455,0.441,0.343
127:29:36,6679,111.3166667,0.455,0.442,0.343
127:29:37,6680,111.3333333,0.454,0.441,0.342
127:29:38,6681,111.35,0.454,0.442,0.343
127:29:39,6682,111.3666667,0.454,0.442,0.343
127:29:40,6683,111.3833333,0.455,0.442,0.344
127:29:41,6684,111.4,0.456,0.442,0.343
127:29:42,6685,111.4166667,0.456,0.442,0.343
127:29:43,6686,111.4333333,0.454,0.442,0.342
127:29:44,6687,111.45,0.454,0.442,0.343
127:29:45,6688,111.4666667,0.453,0.442,0.343
127:29:46,6689,111.4833333,0.454,0.442,0.343
127:29:47,6690,111.5,0.455,0.442,0.343
127:29:48,6691,111.5166667,0.455,0.442,0.343
127:29:49,6692,111.5333333,0.454,0.442,0.343
127:29:50,6693,111.55,0.454,0.442,0.343
127:29:51,6694,111.5666667,0.453,0.442,0.343
127:29:52,6695,111.5833333,0.454,0.442,0.342
127:29:53,6696,111.6,0.455,0.442,0.343
127:29:54,6697,111.6166667,0.454,0.441,0.342
127:29:55,6698,111.6333333,0.454,0.442,0.343
127:29:56,6699,111.65,0.454,0.442,0.342
